what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313037839507
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1313037839507
java.specification.name,sysinfo,,,"Java Platform API Specification",1313037839507
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313037839507
java.specification.version,sysinfo,,,"1.6",1313037839507
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313037839507
java.version,sysinfo,,,"1.6.0_26",1313037839507
java.vm.info,sysinfo,,,"mixed mode",1313037839507
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313037839507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313037839507
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313037839507
java.vm.specification.version,sysinfo,,,"1.0",1313037839507
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313037839507
java.vm.version,sysinfo,,,"20.1-b02",1313037839507
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1313037839537
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1313037840137
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1313037840157
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313037840157
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313037840579
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1313037840729
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313037844779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313037849423
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1313037851843
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1313037852073
