what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313022885256
java.specification.version,sysinfo,,,"1.6",1313022885256
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313022885256
java.version,sysinfo,,,"1.6.0_26",1313022885256
java.vm.info,sysinfo,,,"mixed mode",1313022885256
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313022885256
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313022885256
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313022885256
java.vm.specification.version,sysinfo,,,"1.0",1313022885256
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313022885256
java.vm.version,sysinfo,,,"20.1-b02",1313022885256
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1313022885463
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1313022885629
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1313022886079
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1313022886079
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1313022887019
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1313022887059
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313022887069
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313022887589
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1313022887759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313022959788
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023024044
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1313023026844
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1313023029314
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1313023029554
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1313023029634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023031344
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023031674
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313023031964
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1313023032104
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313023039424
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1313023039554
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1313023039564
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1313023039594
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313023039654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023042114
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023046144
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313023046174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023047814
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023058154
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313023060454
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313023062304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313023063814
