what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313045994041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313045994084
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313045994086
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313046005369
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313046009178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313046011643
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1313046013692
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046019491
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046022241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046022284
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313046022287
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313046028508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313046034986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046036212
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046040288
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046040323
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313046040327
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313046214420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1313046227221
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1313046240862
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313046250605
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313046253428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046254868
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046259285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046272569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046275470
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046275517
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313046275520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313046284838
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313046289277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046290268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046295237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046295281
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313046295284
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313046321774
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313046326675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1313046334105
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1313046336993
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046353665
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046391810
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046402400
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313046402448
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313046402452
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313046517334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046527994
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313046529021
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313046539449
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313046554752
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313046555863
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1313046573546
error,log,,,"Unable to get CElement for Macro",1313046577447
error,log,,,"Unable to get CElement for Macro",1313046577449
error,log,,,"Unable to get CElement for Macro",1313046577450
error,log,,,"Unable to get CElement for Macro",1313046577452
error,log,,,"Unable to get CElement for Macro",1313046577453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1313046577482
