what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312985830701
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312985847565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312985854647
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312985880855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312985882618
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312985894178
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312985895722
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312985899934
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312985905238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312985908998
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312985912664
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312985920386
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312985920495
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312985930510
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312985947842
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312985952116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312985955969
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312985981273
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312985984876
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312985984907
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312985984923
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312985992083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986009150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986011786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986011818
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986011833
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986026263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986029368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986029399
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986029399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986037854
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986039523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986056075
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986058477
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1312986061036
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986062003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986064686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986064733
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986064733
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312986067900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986076776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986084904
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986084935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986111720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986114341
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986114372
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986114388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986137647
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986140362
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1312986143856
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986144839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986147975
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986148021
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986148021
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986149363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986150923
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312986152483
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986155463
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986157803
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312986159035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986162077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986163091
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1312986163107
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986167038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986168847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986168879
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986168879
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312986172999
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312986173810
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312986174216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312986174637
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312986175121
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986176057
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312986187226
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986189894
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986189925
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986225431
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312986228925
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986230657
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986233527
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986233574
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986233574
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986267520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986269392
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986273728
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986324070
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986324101
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986326269
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986326300
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986333398
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1312986333398
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986335520
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986340528
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986353195
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986355675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986363834
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986365269
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986367485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986370963
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986375331
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986376501
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986380448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986380479
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986380479
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986393552
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986396095
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986396126
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986396142
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312986401961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986403567
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986409105
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986409152
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986409152
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986415361
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986417342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986418559
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986422178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312986422225
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312986422225
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312986449338
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312986450399
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312986451194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312986452208
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986453347
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312986456249
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312987546316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312987556597
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312987575301
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312987575317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312987575457
