what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961024699
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961024705
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961034597
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961035720
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1312961091576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312961092907
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961096607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961096666
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961096672
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961105283
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961107560
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961110171
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312961111719
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961112757
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312961115101
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961117686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961117742
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961117746
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312961142565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961144225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961145421
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1312961145432
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961145846
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961146947
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961156487
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961158610
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961164149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961164214
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961164221
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961167895
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961171322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312961212913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961216524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961216591
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961216595
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1312961226116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312961227315
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961230337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961230382
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961230388
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961237538
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961243079
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1312961245273
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312961252122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961255361
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961255413
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312961255419
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312961262210
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312961273074
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961276231
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961955915
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312961957327
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312962008233
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312962009487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312962350663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312962368179
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312962460868
