what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1313039575777
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313039575777
java.specification.version,sysinfo,,,"1.6",1313039575777
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313039575777
java.version,sysinfo,,,"1.6.0_26",1313039575777
java.vm.info,sysinfo,,,"mixed mode",1313039575777
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313039575777
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313039575777
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313039575777
java.vm.specification.version,sysinfo,,,"1.0",1313039575777
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313039575777
java.vm.version,sysinfo,,,"20.1-b02",1313039575777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039575792
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1313039575995
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1313039576167
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1313039577150
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1313039577228
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1313039578101
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1313039578117
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1313039578117
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1313039578335
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1313039578554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039579334
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.toggle.comment",1313039601704
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313039603638
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1313039618193
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1313039620097
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1313039620518
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1313039620549
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039621984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039622218
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313039622296
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1313039622327
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313039630252
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1313039630377
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1313039630408
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1313039630408
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313039630455
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313039631563
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313039634043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039652045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039657084
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313039658145
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313039660204
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313039688206
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039690593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039693027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039694415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039697753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039720342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039720389
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313039720405
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313039724819
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313039743118
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313039760263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039762759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039762790
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1313039762790
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313039766986
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313039768468
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313039777314
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313039788842
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1313039800105
error,log,,,"Unable to get CElement for Macro",1313039800230
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1313039800324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313039909399
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1313039910897
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1313039968055
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313039970504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1313039971128
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1313039971160
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1313039971160
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1313039971206
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1313039971206
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1313039971206
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1313039971300
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1313045061454
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1313045061454
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1313045061485
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1313045061516
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1313045061516
started,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1313045061750
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1313045061782
