what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964658187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312964661753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964664852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964664900
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312964664906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312964671865
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964681553
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312964692434
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964695137
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964699283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964699336
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312964699342
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312964702162
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964709073
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312964718082
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964720796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964739182
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964740520
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964742602
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964743378
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964747183
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964749749
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964749749
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964751739
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964806219
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964808065
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964809737
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964818342
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964821360
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312964829537
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964830429
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964831914
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1312964837303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312964839176
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312964847517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964851182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964851240
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312964851245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312964913424
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964916185
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964916269
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312964916276
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312964922129
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964924658
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312964927058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964930868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312964931830
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312964933428
