what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to get CElement for Macro",1312958283475
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958283505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958306525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958343100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958348910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958353763
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958359188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958363496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958366587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958511497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958513735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958542687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958546350
error,log,,,"Unable to get CElement for Macro",1312958550291
error,log,,,"Unable to get CElement for Macro",1312958550294
error,log,,,"Unable to get CElement for Macro",1312958550297
error,log,,,"Unable to get CElement for Macro",1312958550299
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958550341
error,log,,,"Unable to get CElement for Macro",1312958558595
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958558643
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958561014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958591259
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958592294
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958673125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958676379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312958682198
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958685821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958685872
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312958685877
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958689206
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958690765
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1312958692783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312958692998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958693706
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958722677
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958725598
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958727233
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958732675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958734479
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312958736264
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958738539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958750875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958753705
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312958756712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958759150
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958759195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958759254
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958760674
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312958760681
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312958761861
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958764348
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958765860
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1312958765873
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958766511
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958766793
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312958774675
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958777294
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958777345
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312958777349
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958789979
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958796355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312958808294
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1312958812095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958813629
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958817265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958824348
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958828152
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312958831995
error,log,,,"Unable to get CElement for Macro",1312958835713
error,log,,,"Unable to get CElement for Macro",1312958835717
error,log,,,"Unable to get CElement for Macro",1312958835721
error,log,,,"Unable to get CElement for Macro",1312958835725
error,log,,,"Unable to get CElement for Macro",1312958835729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958835841
error,log,,,"Unable to get CElement for Macro",1312958855013
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958855050
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958861729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958883746
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958885540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958906350
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958947051
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958953464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958956434
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312958971590
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312958981070
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312958983209
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312958984739
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312958986816
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958996154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312958996227
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312958996236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312959014623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312959017649
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312959022868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312959024995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312959043008
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1312959060524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312959064828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312959066430
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312959069584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312959072359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312959074068
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312959082583
