what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312868565509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312868568789
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312868843879
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1312868846809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312868850149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312868851929
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312869229630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312869232120
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870745928
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312870751059
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312870755049
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312870755079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312870781499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870785559
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870785599
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312870785599
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870794119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870858719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312870878159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870879699
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870904469
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1312870936669
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312870937839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870940629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870940669
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312870940669
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870948459
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312870987969
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312871004939
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1312871034499
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312871036499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312871043269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312871043309
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1312871043319
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312871050439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312871058159
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312871102309
error,log,,,"Unable to get CElement for Macro",1312871122379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312871122409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312871129719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312871133329
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312871262589
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312871276269
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312871290359
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312871329019
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1312871346479
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1312871352799
error,log,,,"Unable to get CElement for Macro",1312871357189
