what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1307536368611
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1307536368625
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307536368656
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1307536368665
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1307536368676
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1307536368689
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1307536368701
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1307536368718
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1307536368762
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1307536368764
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1307536368776
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1307536368834
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1307536368835
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1307536368850
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1307536368870
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1307536368887
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1307536368895
os,sysinfo,,,"win32",1307536368899
arch,sysinfo,,,"x86",1307536368899
ws,sysinfo,,,"win32",1307536368899
locale,sysinfo,,,"zh_CN",1307536368899
processors,sysinfo,,,"2",1307536368900
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1307536368900
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1307536368900
java.specification.name,sysinfo,,,"Java Platform API Specification",1307536368900
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307536368900
java.specification.version,sysinfo,,,"1.6",1307536368900
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307536368900
java.version,sysinfo,,,"1.6.0_20",1307536368900
java.vm.info,sysinfo,,,"mixed mode",1307536368900
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307536368900
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307536368900
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307536368900
java.vm.specification.version,sysinfo,,,"1.0",1307536368900
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307536368900
java.vm.version,sysinfo,,,"16.3-b01",1307536368900
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1307536369039
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1307536369086
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307536369457
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1307536369464
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1307536369477
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1307536370161
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1307536370398
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1307536376349
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1307536377574
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1307536377653
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1307536377761
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307536388581
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307536395920
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1307536397933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307536399859
